Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Shaonian Ge Xing: Feng Hua Xue Yue Pian,N/A,12764,12195,"Action, Adventure, Mystery, Historical, Martial Arts",32,"Jul 28, 2021",?,bilibili,CG Year
Idol Land PriPara,N/A,15546,12119,"Music, Slice of Life, Kids, Shoujo",Unknown,"Aug 18, 2021",?,"None found, add some","None found, add some"
Douluo Dalu: Chongfan Haotian,7.12,3215,12336,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy",13,"Aug 21, 2021",?,"None found, add some",Sparkly Key Animation Studio
Wu Geng Ji 4th Season,N/A,13754,12938,"Action, Historical, Supernatural, Martial Arts, Fantasy",42,"Jul 22, 2021",?,Tencent Penguin Pictures,Sparkly Key Animation Studio
Sou Xuan Lu Zhi Chen Ling Ji,N/A,13091,13428,"Action, Demons, Fantasy",6,"Jul 6, 2021","Aug 3, 2021","None found, add some",SJYNEXCUS
Xingchen Bian: Xichen Yao Hai,N/A,?,13730,"Action, Adventure, Romance, Fantasy",Unknown,"Sep 5, 2021",?,"Tencent Penguin Pictures, China Literature Limited",Shanghai Foch Film and TV Culture Investment
Shiguang Dailiren Specials,6.25,7349,12929,"Comedy, Super Power",Unknown,"Aug 27, 2021",?,bilibili,Studio LAN
Mini Van Large,N/A,16548,15021,"Game, Comedy, Parody",Unknown,"Jul 6, 2021",?,"Half H.P Studio, Bushiroad",OLM
Shabake,N/A,12754,15449,"Historical, Fantasy",1,"Jul 19, 2021",?,"None found, add some",Shuka
Xian Yu Ge,N/A,13800,16071,"Slice of Life, Comedy, Fantasy",Unknown,"Jul 29, 2021",?,"None found, add some","None found, add some"
Ni Tian Zhizun,N/A,12006,16794,"Action, Martial Arts, Fantasy",60,"Jul 16, 2021",?,Tencent Penguin Pictures,Soyep
Gabuli,N/A,15005,17574,"Action, Sci-Fi",Unknown,"Jul 15, 2021",?,"None found, add some",Qzil.la
Shuumatsu no Walküre Mini Anime,N/A,12954,10859,Comedy,Unknown,"Jul 27, 2021",?,Warner Bros. Japan,"None found, add some"
Tonikaku Kawaii: SNS,8.15,365,1969,"Comedy, Romance, Shounen",1,"Aug 18, 2021",?,Warner Bros. Japan,Seven Arcs
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,N/A,?,2978,"Slice of Life, Magic, Fantasy, Shounen",3,"Sep 10, 2021",?,"flying DOG, Sound Team Don Juan, Twin Engine",Studio Kafka
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,7.51,1573,1285,"Harem, Comedy, Drama, Romance, Fantasy, School, Shoujo",12,"Jul 3, 2021",?,Nichion,SILVER LINK.
Imaizumin Chi wa Douyara Gal no Tamariba ni Natteru Rashii,7.82,?,7373,"Harem, Hentai",2,"Aug 6, 2021",?,"None found, add some",T-Rex
Kuroinu II The Animation,N/A,?,8431,"Hentai, Demons, Fantasy",Unknown,"Aug 27, 2021",?,Pink Pineapple,Seven
Mako-chan Kaihatsu Nikki,6.36,?,8617,Hentai,2,"Jul 2, 2021",?,"None found, add some",T-Rex
Anette-san to Liliana-san The Animation,6.49,?,8824,Hentai,1,"Jul 30, 2021",?,Pink Pineapple,"None found, add some"
Succubus Appli: Gakuen Sai*,6.30,?,10205,Hentai,Unknown,"Jul 30, 2021",?,Queen Bee,"None found, add some"
Jashin Shoukan: Inran Kyonyuu Oyako Ikenie Gishiki,N/A,?,11334,Hentai,2,"Sep 3, 2021",?,"None found, add some",T-Rex
Boku no Hero Academia the Movie 3: World Heroes' Mission,7.28,2449,1627,"Action, Comedy, Super Power, School, Shounen",1,"Aug 6, 2021",?,"None found, add some",Bones
Cider no You ni Kotoba ga Wakiagaru,7.53,1513,1726,"Music, Slice of Life, Romance",1,"Jul 22, 2021",?,flying DOG,"Signal.MD, Sublimation"
Free! Movie 4: The Final Stroke,N/A,?,2680,"Slice of Life, Sports, Drama, School",1,"Sep 17, 2021",?,"None found, add some",Kyoto Animation
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.10,3302,3063,"Action, Supernatural, Magic, Fantasy",1,"Jul 30, 2021",?,Aniplex,CloverWorks
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,6.68,5136,3166,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",1,"Jul 2, 2021",?,"None found, add some",Studio Deen
Kakushigoto Movie,7.67,1131,3323,"Slice of Life, Comedy, Shounen",1,"Jul 9, 2021",?,Studio Mausu,Ajia-Do
Ryuu to Sobakasu no Hime,7.13,3164,3527,Fantasy,1,"Jul 16, 2021",?,"None found, add some",Studio Chizu
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,N/A,14915,3952,"Action, Magic, Fantasy",1,"Aug 27, 2021",?,"None found, add some",SILVER LINK.
